state,FIPS,year2,number
New Jersey,34,2013,8
New Mexico,35,2013,58
New York,36,2013,28
North Carolina,37,2013,24
North Dakota,38,2013,130
Ohio,39,2013,65
Oklahoma,40,2013,62
Oregon,41,2013,94
Pennsylvania,42,2013,33
Rhode Island,44,2013,65
South Carolina,45,2013,38
South Dakota,46,2013,67
Tennessee,47,2013,44
Texas,48,2013,14
Utah,49,2013,11
Vermont,50,2013,57
Virginia,51,2013,31
Washington,53,2013,48
West Virginia,54,2013,0
Wisconsin,55,2013,59
Wyoming,56,2013,48
Alabama,1,2014,50
Alaska,2,2014,161
Arizona,4,2014,32
Arkansas,5,2014,98
California,6,2014,22
Colorado,8,2014,49
Connecticut,9,2014,53
Delaware,10,2014,0
District of Columbia,11,2014,0
Florida,12,2014,59
Georgia,13,2014,42
Hawaii,15,2014,25
Idaho,16,2014,12
Illinois,17,2014,40
Indiana,18,2014,15
Iowa,19,2014,147
Kansas,20,2014,100
Kentucky,21,2014,5
Louisiana,22,2014,30
Maine,23,2014,8
Maryland,24,2014,75
Massachusetts,25,2014,57
Michigan,26,2014,74
Minnesota,27,2014,167
Mississippi,28,2014,7
Missouri,29,2014,34
Montana,30,2014,37
Nebraska,31,2014,40
Nevada,32,2014,20
New Hampshire,33,2014,23
New Jersey,34,2014,20
New Mexico,35,2014,13
New York,36,2014,22
North Carolina,37,2014,13
North Dakota,38,2014,101
Ohio,39,2014,43
Oklahoma,40,2014,29
Oregon,41,2014,39
Pennsylvania,42,2014,14
Rhode Island,44,2014,98
South Carolina,45,2014,57
South Dakota,46,2014,0
Tennessee,47,2014,21
Texas,48,2014,6
Utah,49,2014,74
Vermont,50,2014,0
Virginia,51,2014,67
Washington,53,2014,56
West Virginia,54,2014,55
Wisconsin,55,2014,71
Wyoming,56,2014,10
USA Average,,2010,45
USA Average,,2011,51
USA Average,,2012,59
USA Average,,2013,46
USA Average,,2014,45
